Interval_ID,MEAN_RR,MEDIAN_RR,SDRR,RMSSD,SDSD,SDRR_RMSSD,HR
790,881.9130434782609,860.0,87.35248254445473,56.03649021212979,56.01313643501136,1.5588499960253792,68.03391835929797
791,910.2727272727273,910.0,95.26749349491887,51.936055358044335,51.92941043993329,1.8343228579481048,65.91431139518626
792,859.4857142857143,860.0,102.32409894296552,70.11336575839883,70.11326989534099,1.4594093128485732,69.80918821886843
793,826.5205479452055,836.0,121.86160009528001,57.42652310174764,57.35794987253508,2.122043848612723,72.59347653142402
794,910.3939393939394,946.0,136.75025663793753,49.69166467790688,49.52286902243264,2.7519757594021046,65.90553539926105
795,1021.0508474576271,1024.0,80.2450534361884,76.43399225746221,76.42627380025587,1.0498608154064348,58.76298927658444
796,1057.298245614035,1055.0,36.101205166392845,32.648835026252144,32.647423680271984,1.1057425215130872,56.74841535857698
797,1002.6,1011.5,67.96989529686408,44.20042947870184,44.19325037083782,1.5377654945551074,59.844404548174744
798,1039.4655172413793,1032.0,32.07707072211818,26.53960959006335,26.527336841019025,1.2086489295655691,57.721972499129194
799,973.2903225806451,977.0,95.23254849810714,61.88778846150295,61.85439465498721,1.538793853610493,61.64655972424765
800,967.8730158730159,1015.0,120.8934322875713,49.45851960269658,49.450563400264095,2.44433988843006,61.99160325373917
801,978.2096774193549,1000.0,80.95859895685716,35.32425906779255,35.28466035140409,2.2918696978607667,61.33654305924252
802,990.9016393442623,1023.0,107.23388027708297,86.58935654378467,86.58691683312594,1.2384187220846157,60.55091405409877
803,998.344262295082,1015.0,77.33827870029592,49.95981718674852,49.95714552382761,1.5480096416527587,60.09950902313667
804,990.0,1007.0,87.21802340432497,57.5441859211974,57.5441859211974,1.5156704714489095,60.60606060606061
805,995.5245901639345,1000.0,75.72482680946743,51.22157748449378,51.215587362529476,1.4783774832470062,60.26973175029229
806,996.0327868852459,1008.0,93.51513723581478,60.38846468214494,60.384784691362626,1.548559608660897,60.23898087494651
807,994.360655737705,984.0,36.75797350186012,29.971097188235646,29.97080060473675,1.2264473759835686,60.34027960960169
808,970.516129032258,977.0,64.25045297580597,40.25268548214628,40.25193437473978,1.5961780488982202,61.82277471249086
809,941.515625,945.5,54.41334630271672,28.579046603445413,28.578764490323906,1.9039594657491756,63.72703586305325
810,927.2923076923076,961.0,82.54765021618131,36.355235180094766,36.34781724339682,2.270584959972363,64.7045160434018
811,940.1875,953.0,54.10518546082251,31.54814914199745,31.54725067170372,1.7150034766634452,63.8170577677325
812,961.1746031746031,953.0,89.01891000865066,48.92917857607087,48.92849802348881,1.8193420081690466,62.42362189120455
813,941.171875,937.5,25.342993784957116,22.871622397877925,22.865981536225743,1.1080540481163457,63.7503112808168
814,932.3230769230769,953.0,81.72827543706744,37.97244066425017,37.97244066425017,2.152305040376611,64.35537367370176
815,963.047619047619,969.0,68.92817254593031,32.20298523529327,32.071849618961316,2.14042803927344,62.302215189873415
816,970.016129032258,968.0,56.802854294334104,37.422926259661544,37.37374158502863,1.5178624434712453,61.8546415922582
817,1012.8833333333333,1008.0,29.60466836309586,24.28468164732378,24.266783049095174,1.2190675913743492,59.236832145854244
818,960.936507936508,961.0,36.44603447667982,26.088867975787384,26.043832618909796,1.3969956270431028,62.43908885181453
819,978.0806451612904,984.0,82.36059549266474,70.02856560004639,69.98185352381235,1.1760999927236861,61.3446348180274
820,939.453125,953.0,54.702013699080354,31.065471058129667,31.045022126598944,1.7608621996016742,63.86694386694387
821,964.031746031746,954.0,33.115463349081935,25.5346064984808,25.529710711879563,1.2968855952823146,62.23861428524385
822,868.9857142857143,860.0,83.38730510731969,33.92211881542095,33.91527925245031,2.4581986037208243,69.04601423663055
823,843.3055555555555,839.5,128.1093975745479,48.391158545256104,48.33532363818508,2.647371987482758,71.14858855693534
824,944.828125,946.0,34.977025802437446,24.03502734931957,24.026639704084538,1.4552521740079336,63.50361342175329
825,987.1967213114754,984.0,67.04141604008701,47.93641621982186,47.754988104792666,1.398548772037013,60.778159717032835
826,1040.8103448275863,1031.5,39.84385770018784,25.459634373968147,25.352485834957008,1.5649815356707246,57.64739013036924
827,1016.8,1008.0,57.033849598286814,46.43073937944596,46.34019191757594,1.2283640183325328,59.00865460267506
828,1031.7796610169491,1023.0,83.93683415937636,93.49396071220414,93.40004003848948,0.897778140106324,58.15195071868583
829,742.9506172839506,704.0,153.69441391927467,26.568308188516635,26.059439268717966,5.78487771327888,80.7590687781452
830,723.9156626506024,695.0,93.44700254583802,22.61339986951402,22.202223468568302,4.132372977307913,82.88258300740618
831,995.2622950819672,984.0,44.07032444141912,31.57451503982286,31.5721880070982,1.3957561782290595,60.28561545683649
832,912.1666666666666,906.0,116.41755872632778,47.48943202277907,47.48887132169266,2.451441379010097,65.77745295084962
833,1053.5964912280701,1055.0,45.777056863203214,36.51516319088746,36.43900410834746,1.2536451397984467,56.94779785196903
834,1022.3728813559322,1023.0,74.44276570812008,44.69012079365779,44.67968971477223,1.665754408045472,58.687002652519894
835,1051.4655172413793,1055.0,46.1471467781806,31.787120860996186,31.757652250352095,1.4517561052471608,57.063212265311144
