model,features,best_params,overall_accuracy,overall_precision,overall_recall,overall_f1,accuracy_class_interruption,precision_class_interruption,recall_class_interruption,f1_score_class_interruption,accuracy_class_no stress,precision_class_no stress,recall_class_no stress,f1_score_class_no stress,accuracy_class_time pressure,precision_class_time pressure,recall_class_time pressure,f1_score_class_time pressure
SVM,"['MEAN_RR', 'MEDIAN_RR']","{'gamma': 1, 'C': 10}",0.6222065091133118,0.6223533296862328,0.4846806393742962,0.4946934430617515,0.2662536071974198,0.6469375128892555,0.2662536071974198,0.37724730924177735,0.9272497517826519,0.6207063230718105,0.9272497517826519,0.7436254727736659,0.2605385591428169,0.5994161530976322,0.2605385591428169,0.36320754716981135
SVM,"['MEAN_RR', 'MEDIAN_RR', 'SDRR', 'RMSSD', 'SDSD', 'SDRR_RMSSD', 'HR']","{'gamma': 1, 'C': 10}",0.9535739421844482,0.9497484606291602,0.9461605955432386,0.9479332833274762,0.9459344763198099,0.9491568727644354,0.9459344763198099,0.9475429348750213,0.9664229623612239,0.9601829432337907,0.9664229623612239,0.9632928475033739,0.9261243479486818,0.9399055658892546,0.9261243479486818,0.9329640676040336
